label1,label2,squared_distance
0,1,0.75
1,0,0.75
0,2,1
2,0,1
0,4,1
4,0,1
0,5,0.75
5,0,0.75
0,6,1
6,0,1
0,12,1
12,0,1
0,13,0.75
13,0,0.75
0,17,0.75
17,0,0.75
0,18,1
18,0,1
0,36,1
36,0,1
0,37,0.75
37,0,0.75
0,41,0.75
41,0,0.75
0,49,0.75
49,0,0.75
0,53,0.75
53,0,0.75
1,2,0.75
2,1,0.75
1,3,1
3,1,1
1,5,1
5,1,1
1,6,0.75
6,1,0.75
1,7,1
7,1,1
1,8,0.75
8,1,0.75
1,13,1
13,1,1
1,18,0.75
18,1,0.75
1,19,1
19,1,1
1,20,0.75
20,1,0.75
1,24,0.75
24,1,0.75
1,26,0.75
26,1,0.75
1,37,1
37,1,1
2,3,0.75
3,2,0.75
2,4,1
4,2,1
2,8,1
8,2,1
2,13,0.75
13,2,0.75
2,14,1
14,2,1
2,15,0.75
15,2,0.75
2,20,1
20,2,1
2,37,0.75
37,2,0.75
2,38,1
38,2,1
2,39,0.75
39,2,0.75
2,49,0.75
49,2,0.75
2,51,0.75
51,2,0.75
3,4,0.75
4,3,0.75
3,5,1
5,3,1
3,8,0.75
8,3,0.75
3,9,1
9,3,1
3,10,0.75
10,3,0.75
3,15,1
15,3,1
3,20,0.75
20,3,0.75
3,21,1
21,3,1
3,22,0.75
22,3,0.75
3,26,0.75
26,3,0.75
3,28,0.75
28,3,0.75
3,39,1
39,3,1
4,5,0.75
5,4,0.75
4,10,1
10,4,1
4,15,0.75
15,4,0.75
4,16,1
16,4,1
4,17,0.75
17,4,0.75
4,22,1
22,4,1
4,39,0.75
39,4,0.75
4,40,1
40,4,1
4,41,0.75
41,4,0.75
4,51,0.75
51,4,0.75
4,53,0.75
53,4,0.75
5,6,0.75
6,5,0.75
5,10,0.75
10,5,0.75
5,11,1
11,5,1
5,17,1
17,5,1
5,18,0.75
18,5,0.75
5,22,0.75
22,5,0.75
5,23,1
23,5,1
5,24,0.75
24,5,0.75
5,28,0.75
28,5,0.75
5,41,1
41,5,1
6,7,0.75
7,6,0.75
6,8,1
8,6,1
6,10,1
10,6,1
6,11,0.75
11,6,0.75
6,12,1
12,6,1
6,24,1
24,6,1
6,37,0.75
37,6,0.75
6,41,0.75
41,6,0.75
6,42,1
42,6,1
6,43,0.75
43,6,0.75
6,47,0.75
47,6,0.75
7,8,0.75
8,7,0.75
7,9,1
9,7,1
7,11,1
11,7,1
7,12,0.75
12,7,0.75
7,13,1
13,7,1
7,14,0.75
14,7,0.75
7,24,0.75
24,7,0.75
7,25,1
25,7,1
7,26,0.75
26,7,0.75
7,30,0.75
30,7,0.75
7,32,0.75
32,7,0.75
7,43,1
43,7,1
8,9,0.75
9,8,0.75
8,10,1
10,8,1
8,14,1
14,8,1
8,26,1
26,8,1
8,37,0.75
37,8,0.75
8,39,0.75
39,8,0.75
8,43,0.75
43,8,0.75
8,44,1
44,8,1
8,45,0.75
45,8,0.75
9,10,0.75
10,9,0.75
9,11,1
11,9,1
9,14,0.75
14,9,0.75
9,15,1
15,9,1
9,16,0.75
16,9,0.75
9,26,0.75
26,9,0.75
9,27,1
27,9,1
9,28,0.75
28,9,0.75
9,32,0.75
32,9,0.75
9,34,0.75
