label1,label2,squared_distance
0,1,0.5
1,0,0.5
0,2,0.5
2,0,0.5
0,3,0.5
3,0,0.5
0,4,0.1875
4,0,0.1875
0,5,1.1875
5,0,1.1875
0,6,1.1875
6,0,1.1875
0,7,1.1875
7,0,1.1875
0,8,1
8,0,1
0,16,1
16,0,1
0,18,0.5
18,0,0.5
0,19,0.5
19,0,0.5
0,20,0.6875
20,0,0.6875
0,22,0.6875
22,0,0.6875
0,23,0.6875
23,0,0.6875
0,24,1
24,0,1
0,48,1
48,0,1
0,49,0.5
49,0,0.5
0,51,0.5
51,0,0.5
0,52,0.6875
52,0,0.6875
0,53,0.6875
53,0,0.6875
0,54,0.6875
54,0,0.6875
0,67,0.5
67,0,0.5
0,68,1.1875
68,0,1.1875
0,69,1.1875
69,0,1.1875
0,70,0.1875
70,0,0.1875
0,71,1.1875
71,0,1.1875
0,72,1
72,0,1
0,144,1
144,0,1
0,145,0.5
145,0,0.5
0,146,0.5
146,0,0.5
0,148,0.6875
148,0,0.6875
0,149,0.6875
149,0,0.6875
0,151,0.6875
151,0,0.6875
0,162,0.5
162,0,0.5
0,164,1.1875
164,0,1.1875
0,165,1.1875
165,0,1.1875
0,166,1.1875
166,0,1.1875
0,167,0.1875
167,0,0.1875
0,193,0.5
193,0,0.5
0,196,1.1875
196,0,1.1875
0,197,0.1875
197,0,0.1875
0,198,1.1875
198,0,1.1875
0,199,1.1875
199,0,1.1875
0,213,0.6875
213,0,0.6875
0,214,0.6875
214,0,0.6875
0,215,0.6875
215,0,0.6875
1,2,0.5
2,1,0.5
1,3,0.5
3,1,0.5
1,4,0.1875
4,1,0.1875
1,5,0.1875
5,1,0.1875
1,6,0.6875
6,1,0.6875
1,7,0.6875
7,1,0.6875
1,9,1
9,1,1
1,17,1
17,1,1
1,18,0.5
18,1,0.5
1,19,0.5
19,1,0.5
1,20,0.6875
20,1,0.6875
1,21,0.6875
21,1,0.6875
1,22,0.1875
22,1,0.1875
1,23,0.1875
23,1,0.1875
1,24,0.5
24,1,0.5
1,25,1
25,1,1
1,26,0.5
26,1,0.5
1,28,0.6875
28,1,0.6875
1,31,1.1875
31,1,1.1875
1,42,0.5
42,1,0.5
1,44,1.1875
44,1,1.1875
1,47,0.6875
47,1,0.6875
1,49,1
49,1,1
1,53,0.6875
53,1,0.6875
1,54,1.1875
54,1,1.1875
1,69,1.1875
69,1,1.1875
1,70,0.6875
70,1,0.6875
1,72,0.5
72,1,0.5
1,73,1
73,1,1
1,75,0.5
75,1,0.5
1,76,0.6875
76,1,0.6875
1,78,1.1875
78,1,1.1875
1,91,0.5
91,1,0.5
1,92,1.1875
92,1,1.1875
1,94,0.6875
94,1,0.6875
1,96,0.5
96,1,0.5
1,100,1.1875
100,1,1.1875
1,142,1.1875
142,1,1.1875
1,145,1
145,1,1
1,149,0.6875
149,1,0.6875
1,151,1.1875
151,1,1.1875
1,165,1.1875
165,1,1.1875
1,167,0.6875
167,1,0.6875
1,191,1.1875
191,1,1.1875
1,197,1.1875
197,1,1.1875
2,3,0.5
3,2,0.5
2,4,0.1875
4,2,0.1875
2,5,0.6875
5,2,0.6875
2,6,0.6875
6,2,0.6875
2,7,0.1875
7,2,0.1875
2,8,0.5
8,2,0.5
2,9,0.5
9,2,0.5
2,10,1
10,2,1
2,12,0.6875
12,2,0.6875
2,13,1.1875
13,2,1.1875
2,18,1
18,2,1
2,22,1.1875
22,2,1.1875
2,23,0.6875
23,2,0.6875
2,26,1
26,2,1
2,49,0.5
49,2,0.5
2,50,1
50,2,1
2,51,0.5
51,2,0.5
2,52,0.6875
52,2,0.6875
2,53,0.1875
53,2,0.1875
2,54,0.1875
54,2,0.1875
2,55,0.6875
55,2,0.6875
2,57,0.5
57,2,0.5
2,60,1.1875
60,2,1.1875
2,61,0.6875
61,2,0.6875
2,70,0.6875
70,2,0.6875
2,71,1.1875
71,2,1.1875
2,72,0.5
72,2,0.5
2,74,1
74,2,1
2,75,0.5
75,2,0.5
2,76,0.6875
76,2,0.6875
2,78,1.1875
78,2,1.1875
2,80,0.5
80,2,0.5
2,84,1.1875
84,2,1.1875
2,123,0.5
123,2,0.5
2,124,1.1875
124,2,1.1875
2,126,0.6875
126,2,0.6875
2,142,1.1875
142,2,1.1875
2,146,1
146,2,1
2,149,1.1875
149,2,1.1875
2,151,0.6875
151,2,0.6875
2,167,1.1875
167,2,1.1875
2,197,0.6875
197,2,0.6875
2,199,1.1875
199,2,1.1875
2,205,1.1875
205,2,1.1875
3,4,0.1875
4,3,0.1875
3,5,0.6875
5,3,0.6875
3,6,0.1875
6,3,0.1875
3,7,0.6875
7,3,0.6875
3,8,0.5
8,3,0.5
3,9,0.5
9,3,0.5
3,11,1
11,3,1
3,12,0.6875
12,3,0.6875
3,13,1.1875
13,3,1.1875
3,19,1
19,3,1
3,22,0.6875
22,3,0.6875
3,23,1.1875
23,3,1.1875
3,24,0.5
24,3,0.5
3,26,0.5
26,3,0.5
3,27,1
27,3,1
3,28,0.6875
28,3,0.6875
3,31,1.1875
31,3,1.1875
3,32,0.5
32,3,0.5
3,36,1.1875
36,3,1.1875
3,51,1
51,3,1
3,53,1.1875
53,3,1.1875
3,54,0.6875
54,3,0.6875
3,70,1.1875
70,3,1.1875
3,75,1
75,3,1
3,145,0.5
145,3,0.5
3,146,0.5
146,3,0.5
3,147,1
147,3,1
3,148,0.6875
148,3,0.6875
3,149,0.1875
149,3,0.1875
3,150,0.6875
150,3,0.6875
3,151,0.1875
151,3,0.1875
3,153,0.5
153,3,0.5
3,156,1.1875
156,3,1.1875
3,157,0.6875
157,3,0.6875
3,166,1.1875
166,3,1.1875
3,167,0.6875
167,3,0.6875
3,170,0.5
170,3,0.5
3,172,1.1875
172,3,1.1875
3,175,0.6875
175,3,0.6875
3,191,1.1875
191,3,1.1875
3,197,0.6875
197,3,0.6875
3,198,1.1875
198,3,1.1875
3,205,1.1875
205,3,1.1875
4,5,0.5
5,4,0.5
4,6,0.5
6,4,0.5
4,7,0.5
7,4,0.5
4,8,0.6875
8,4,0.6875
4,9,0.6875
9,4,0.6875
4,12,1
12,4,1
4,18,0.6875
18,4,0.6875
4,19,0.6875
19,4,0.6875
4,20,1
20,4,1
4,22,0.5
22,4,0.5
4,23,0.5
23,4,0.5
4,24,0.6875
24,4,0.6875
4,26,0.6875
26,4,0.6875
4,28,1
28,4,1
4,32,1.1875
32,4,1.1875
4,42,1.1875
42,4,1.1875
4,49,0.6875
49,4,0.6875
4,51,0.6875
51,4,0.6875
4,52,1
52,4,1
4,53,0.5
53,4,0.5
4,54,0.5
54,4,0.5
4,57,1.1875
57,4,1.1875
4,67,1.1875
67,4,1.1875
4,70,0.5
70,4,0.5
4,72,0.6875
72,4,0.6875
4,75,0.6875
75,4,0.6875
4,76,1
76,4,1
4,80,1.1875
80,4,1.1875
4,91,1.1875
91,4,1.1875
4,96,1.1875
96,4,1.1875
4,123,1.1875
123,4,1.1875
4,145,0.6875
145,4,0.6875
4,146,0.6875
146,4,0.6875
4,148,1
148,4,1
4,149,0.5
149,4,0.5
4,151,0.5
151,4,0.5
4,153,1.1875
153,4,1.1875
4,162,1.1875
162,4,1.1875
4,167,0.5
167,4,0.5
4,170,1.1875
170,4,1.1875
4,193,1.1875
193,4,1.1875
4,197,0.5
197,4,0.5
5,6,0.5
6,5,0.5
5,7,0.5
7,5,0.5
5,9,0.6875
9,5,0.6875
5,13,1
13,5,1
5,18,1.1875
18,5,1.1875
5,19,1.1875
19,5,1.1875
5,21,1
21,5,1
5,22,0.5
22,5,0.5
5,23,0.5
23,5,0.5
5,24,0.6875
24,5,0.6875
5,25,0.6875
25,5,0.6875
5,26,0.1875
26,5,0.1875
5,27,1.1875
27,5,1.1875
5,28,0.5
28,5,0.5
5,29,1
29,5,1
5,31,0.5
31,5,0.5
5,32,1.1875
32,5,1.1875
5,33,1.1875
33,5,1.1875
5,42,0.6875
42,5,0.6875
5,47,0.5
47,5,0.5
5,53,1
53,5,1
5,72,0.6875
72,5,0.6875
5,73,0.6875
73,5,0.6875
5,74,1.1875
74,5,1.1875
5,75,0.1875
75,5,0.1875
5,76,0.5
76,5,0.5
5,77,1
77,5,1
5,78,0.5
78,5,0.5
5,80,1.1875
80,5,1.1875
5,81,1.1875
81,5,1.1875
5,91,0.6875
91,5,0.6875
5,94,0.5
94,5,0.5
5,96,0.1875
96,5,0.1875
5,97,1.1875
97,5,1.1875
5,98,0.6875
98,5,0.6875
5,99,0.6875
99,5,0.6875
5,100,0.5
100,5,0.5
5,104,0.6875
104,5,0.6875
5,114,1.1875
114,5,1.1875
5,115,1.1875
115,5,1.1875
5,149,1
149,5,1
6,7,0.5
7,6,0.5
6,8,0.6875
8,6,0.6875
6,9,0.1875
9,6,0.1875
6,10,1.1875
10,6,1.1875
6,11,0.6875
11,6,0.6875
6,12,0.5
12,6,0.5
6,13,0.5
13,6,0.5
6,14,1
14,6,1
6,22,1
22,6,1
6,24,0.6875
24,6,0.6875
6,25,1.1875
25,6,1.1875
6,26,0.1875
26,6,0.1875
6,27,0.6875
27,6,0.6875
6,28,0.5
28,6,0.5
6,30,1
30,6,1
6,31,0.5
31,6,0.5
6,32,0.1875
32,6,0.1875
6,33,0.6875
33,6,0.6875
6,34,0.6875
34,6,0.6875
6,35,1.1875
35,6,1.1875
6,36,0.5
36,6,0.5
6,54,1
54,6,1
6,75,0.6875
75,6,0.6875
6,78,1
78,6,1
6,80,1.1875
80,6,1.1875
6,83,1.1875
83,6,1.1875
6,96,1.1875
96,6,1.1875
6,99,1.1875
99,6,1.1875
6,104,0.6875
104,6,0.6875
6,145,1.1875
145,6,1.1875
6,146,1.1875
146,6,1.1875
6,149,0.5
149,6,0.5
6,150,1
150,6,1
6,151,0.5
151,6,0.5
6,153,0.6875
153,6,0.6875
6,157,0.5
157,6,0.5
6,170,0.6875
170,6,0.6875
6,175,0.5
175,6,0.5
6,177,1.1875
177,6,1.1875
6,178,1.1875
178,6,1.1875
7,8,0.6875
8,7,0.6875
7,9,0.1875
9,7,0.1875
7,10,0.6875
10,7,0.6875
7,11,1.1875
11,7,1.1875
7,12,0.5
12,7,0.5
7,13,0.5
13,7,0.5
7,15,1
15,7,1
7,23,1
23,7,1
7,26,0.6875
26,7,0.6875
7,31,1
31,7,1
7,32,1.1875
32,7,1.1875
7,34,1.1875
34,7,1.1875
7,49,1.1875
49,7,1.1875
7,51,1.1875
51,7,1.1875
7,53,0.5
53,7,0.5
7,54,0.5
54,7,0.5
7,55,1
55,7,1
7,57,0.6875
57,7,0.6875
7,61,0.5
61,7,0.5
7,72,0.6875
72,7,0.6875
7,73,1.1875
73,7,1.1875
7,74,0.6875
74,7,0.6875
7,75,0.1875
75,7,0.1875
7,76,0.5
76,7,0.5
7,78,0.5
78,7,0.5
7,79,1
79,7,1
7,80,0.1875
80,7,0.1875
7,81,0.6875
81,7,0.6875
7,82,1.1875
82,7,1.1875
7,83,0.6875
83,7,0.6875
7,84,0.5
84,7,0.5
7,96,1.1875
96,7,1.1875
7,98,1.1875
98,7,1.1875
7,104,0.6875
104,7,0.6875
7,123,0.6875
123,7,0.6875
7,126,0.5
126,7,0.5
7,129,1.1875
129,7,1.1875
7,131,1.1875
131,7,1.1875
7,151,1
151,7,1
8,9,0.5
9,8,0.5
8,10,0.5
10,8,0.5
8,11,0.5
11,8,0.5
8,12,0.1875
12,8,0.1875
8,13,1.1875
13,8,1.1875
8,14,1.1875
14,8,1.1875
8,15,1.1875
15,8,1.1875
8,16,1
16,8,1
8,32,1
32,8,1
8,51,0.5
51,8,0.5
8,52,1.1875
52,8,1.1875
8,53,1.1875
53,8,1.1875
8,54,0.1875
54,8,0.1875
8,55,1.1875
55,8,1.1875
8,56,1
56,8,1
8,57,0.5
57,8,0.5
8,59,0.5
59,8,0.5
8,60,0.6875
60,8,0.6875
8,61,0.6875
61,8,0.6875
8,62,0.6875
62,8,0.6875
8,80,1
80,8,1
8,146,0.5
146,8,0.5
8,148,1.1875
148,8,1.1875
8,149,1.1875
149,8,1.1875
8,150,1.1875
150,8,1.1875
8,151,0.1875
151,8,0.1875
8,152,1
152,8,1
8,153,0.5
153,8,0.5
8,154,0.5
154,8,0.5
8,156,0.6875
156,8,0.6875
8,157,0.6875
157,8,0.6875
8,159,0.6875
159,8,0.6875
8,197,0.6875
197,8,0.6875
8,198,0.6875
198,8,0.6875
8,199,0.6875
199,8,0.6875
8,201,0.5
201,8,0.5
8,204,1.1875
204,8,1.1875
8,205,0.1875
205,8,0.1875
8,206,1.1875
206,8,1.1875
8,207,1.1875
207,8,1.1875
9,10,0.5
10,9,0.5
9,11,0.5
11,9,0.5
9,12,0.1875
12,9,0.1875
9,13,0.1875
13,9,0.1875
9,14,0.6875
14,9,0.6875
9,15,0.6875
15,9,0.6875
9,17,1
17,9,1
9,26,0.5
26,9,0.5
9,28,1.1875
28,9,1.1875
9,31,0.6875
31,9,0.6875
9,32,0.5
32,9,0.5
9,33,1
33,9,1
9,34,0.5
34,9,0.5
9,36,0.6875
36,9,0.6875
9,39,1.1875
39,9,1.1875
9,53,1.1875
53,9,1.1875
9,54,0.6875
54,9,0.6875
9,57,1
57,9,1
9,61,0.6875
61,9,0.6875
9,62,1.1875
62,9,1.1875
9,75,0.5
75,9,0.5
9,76,1.1875
76,9,1.1875
9,78,0.6875
78,9,0.6875
9,80,0.5
80,9,0.5
9,81,1
81,9,1
9,83,0.5
83,9,0.5
9,84,0.6875
84,9,0.6875
9,86,1.1875
86,9,1.1875
9,104,0.5
104,9,0.5
9,108,1.1875
108,9,1.1875
9,126,1.1875
126,9,1.1875
9,149,1.1875
149,9,1.1875
9,151,0.6875
151,9,0.6875
9,153,1
153,9,1
9,157,0.6875
157,9,0.6875
9,159,1.1875
159,9,1.1875
9,175,1.1875
175,9,1.1875
9,205,1.1875
205,9,1.1875
10,11,0.5
11,10,0.5
10,12,0.1875
12,10,0.1875
10,13,0.6875
13,10,0.6875
10,14,0.6875
14,10,0.6875
10,15,0.1875
15,10,0.1875
10,16,0.5
16,10,0.5
10,17,0.5
17,10,0.5
