label1,label2,squared_distance
0,1,0.5
1,0,0.5
0,2,0.5
2,0,0.5
0,3,0.5
3,0,0.5
0,4,1
4,0,1
0,8,1
8,0,1
0,10,0.5
10,0,0.5
0,11,0.5
11,0,0.5
0,12,1
12,0,1
0,24,1
24,0,1
0,25,0.5
25,0,0.5
0,27,0.5
27,0,0.5
0,35,0.5
35,0,0.5
0,36,1
36,0,1
0,72,1
72,0,1
0,73,0.5
73,0,0.5
0,74,0.5
74,0,0.5
0,82,0.5
82,0,0.5
0,97,0.5
97,0,0.5
1,2,0.5
2,1,0.5
1,3,0.5
3,1,0.5
1,5,1
5,1,1
1,9,1
9,1,1
1,10,0.5
10,1,0.5
1,11,0.5
11,1,0.5
1,12,0.5
12,1,0.5
1,13,1
13,1,1
1,14,0.5
14,1,0.5
1,22,0.5
22,1,0.5
1,25,1
25,1,1
1,36,0.5
36,1,0.5
1,37,1
37,1,1
1,39,0.5
39,1,0.5
1,47,0.5
47,1,0.5
1,48,0.5
48,1,0.5
1,73,1
73,1,1
2,3,0.5
3,2,0.5
2,4,0.5
4,2,0.5
2,5,0.5
5,2,0.5
2,6,1
6,2,1
2,10,1
10,2,1
2,14,1
14,2,1
2,25,0.5
25,2,0.5
2,26,1
26,2,1
2,27,0.5
27,2,0.5
2,29,0.5
29,2,0.5
2,36,0.5
36,2,0.5
2,38,1
38,2,1
2,39,0.5
39,2,0.5
2,40,0.5
40,2,0.5
2,63,0.5
63,2,0.5
2,74,1
74,2,1
3,4,0.5
4,3,0.5
3,5,0.5
5,3,0.5
3,7,1
7,3,1
3,11,1
11,3,1
3,12,0.5
12,3,0.5
3,14,0.5
14,3,0.5
3,15,1
15,3,1
3,16,0.5
16,3,0.5
3,27,1
27,3,1
3,39,1
39,3,1
3,73,0.5
73,3,0.5
3,74,0.5
74,3,0.5
3,75,1
75,3,1
3,77,0.5
77,3,0.5
3,86,0.5
86,3,0.5
4,5,0.5
5,4,0.5
4,6,0.5
6,4,0.5
4,7,0.5
7,4,0.5
4,8,1
8,4,1
4,16,1
16,4,1
4,27,0.5
27,4,0.5
4,28,1
28,4,1
4,29,0.5
29,4,0.5
4,31,0.5
31,4,0.5
4,40,1
40,4,1
4,74,0.5
74,4,0.5
4,76,1
76,4,1
4,77,0.5
77,4,0.5
4,78,0.5
78,4,0.5
4,101,0.5
101,4,0.5
5,6,0.5
6,5,0.5
5,7,0.5
7,5,0.5
5,9,1
9,5,1
5,14,0.5
14,5,0.5
5,16,0.5
16,5,0.5
5,17,1
17,5,1
5,18,0.5
18,5,0.5
5,29,1
29,5,1
5,39,0.5
39,5,0.5
5,40,0.5
40,5,0.5
5,41,1
41,5,1
5,43,0.5
43,5,0.5
5,52,0.5
52,5,0.5
5,77,1
77,5,1
6,7,0.5
7,6,0.5
6,8,0.5
8,6,0.5
6,9,0.5
9,6,0.5
6,10,1
10,6,1
6,18,1
18,6,1
6,29,0.5
29,6,0.5
6,30,1
30,6,1
6,31,0.5
31,6,0.5
6,33,0.5
33,6,0.5
6,40,0.5
40,6,0.5
6,42,1
42,6,1
6,43,0.5
43,6,0.5
6,44,0.5
44,6,0.5
6,67,0.5
67,6,0.5
6,78,1
78,6,1
7,8,0.5
8,7,0.5
7,9,0.5
9,7,0.5
7,11,1
11,7,1
7,16,0.5
16,7,0.5
7,18,0.5
18,7,0.5
7,19,1
19,7,1
7,20,0.5
20,7,0.5
7,31,1
31,7,1
7,43,1
43,7,1
7,77,0.5
77,7,0.5
7,78,0.5
78,7,0.5
7,79,1
79,7,1
7,81,0.5
81,7,0.5
7,90,0.5
90,7,0.5
8,9,0.5
9,8,0.5
8,10,0.5
10,8,0.5
8,11,0.5
11,8,0.5
8,20,1
20,8,1
8,31,0.5
31,8,0.5
8,32,1
32,8,1
8,33,0.5
33,8,0.5
8,35,0.5
35,8,0.5
8,44,1
44,8,1
8,78,0.5
78,8,0.5
8,80,1
80,8,1
8,81,0.5
81,8,0.5
8,82,0.5
82,8,0.5
8,105,0.5
105,8,0.5
9,10,0.5
10,9,0.5
9,11,0.5
11,9,0.5
9,18,0.5
18,9,0.5
9,20,0.5
20,9,0.5
9,21,1
21,9,1
9,22,0.5
22,9,0.5
9,33,1
33,9,1
9,43,0.5
43,9,0.5
9,44,0.5
44,9,0.5
9,45,1
45,9,1
9,47,0.5
47,9,0.5
9,56,0.5
56,9,0.5
9,81,1
81,9,1
10,11,0.5
11,10,0.5
10,22,1
22,10,1
10,25,0.5
25,10,0.5
10,33,0.5
33,10,0.5
10,34,1
34,10,1
10,35,0.5
35,10,0.5
10,36,0.5
36,10,0.5
10,44,0.5
44,10,0.5
10,46,1
46,10,1
10,47,0.5
47,10,0.5
10,71,0.5
71,10,0.5
10,82,1
82,10,1
11,12,0.5
12,11,0.5
11,20,0.5
20,11,0.5
11,22,0.5
22,11,0.5
11,23,1
23,11,1
11,35,1
35,11,1
11,47,1
47,11,1
11,73,0.5
73,11,0.5
11,81,0.5
81,11,0.5
11,82,0.5
82,11,0.5
11,83,1
83,11,1
11,94,0.5
94,11,0.5
12,13,0.5
13,12,0.5
12,14,0.5
14,12,0.5
12,15,0.5
15,12,0.5
12,16,1
16,12,1
12,20,1
20,12,1
12,22,0.5
22,12,0.5
12,23,0.5
23,12,0.5
12,24,1
24,12,1
12,48,1
48,12,1
12,73,0.5
73,12,0.5
12,84,1
84,12,1
12,85,0.5
85,12,0.5
12,86,0.5
86,12,0.5
12,94,0.5
94,12,0.5
13,14,0.5
14,13,0.5
13,15,0.5
15,13,0.5
13,17,1
17,13,1
13,21,1
21,13,1
13,22,0.5
22,13,0.5
13,23,0.5
23,13,0.5
13,24,0.5
24,13,0.5
13,25,1
25,13,1
13,26,0.5
26,13,0.5
13,34,0.5
34,13,0.5
13,48,0.5
48,13,0.5
13,49,1
49,13,1
13,51,0.5
51,13,0.5
13,59,0.5
59,13,0.5
13,60,0.5
60,13,0.5
13,85,1
85,13,1
14,15,0.5
15,14,0.5
14,16,0.5
16,14,0.5
14,17,0.5
17,14,0.5
14,18,1
18,14,1
14,22,1
22,14,1
14,26,1
26,14,1
14,39,0.5
39,14,0.5
14,48,0.5
48,14,0.5
14,50,1
50,14,1
14,51,0.5
51,14,0.5
14,52,0.5
52,14,0.5
14,86,1
86,14,1
15,16,0.5
16,15,0.5
15,17,0.5
17,15,0.5
15,19,1
19,15,1
15,23,1
23,15,1
15,24,0.5
24,15,0.5
15,26,0.5
26,15,0.5
15,27,1
27,15,1
15,28,0.5
28,15,0.5
15,51,1
51,15,1
15,85,0.5
85,15,0.5
15,86,0.5
86,15,0.5
15,87,1
87,15,1
15,89,0.5
89,15,0.5
15,98,0.5
98,15,0.5
16,17,0.5
17,16,0.5
16,18,0.5
18,16,0.5
16,19,0.5
19,16,0.5
16,20,1
20,16,1
16,28,1
28,16,1
16,52,1
52,16,1
16,77,0.5
77,16,0.5
16,86,0.5
86,16,0.5
16,88,1
88,16,1
16,89,0.5
89,16,0.5
16,90,0.5
90,16,0.5
17,18,0.5
18,17,0.5
17,19,0.5
19,17,0.5
17,21,1
21,17,1
17,26,0.5
26,17,0.5
17,28,0.5
28,17,0.5
17,29,1
29,17,1
17,30,0.5
30,17,0.5
17,51,0.5
51,17,0.5
17,52,0.5
52,17,0.5
17,53,1
53,17,1
17,55,0.5
55,17,0.5
17,64,0.5
64,17,0.5
17,89,1
89,17,1
18,19,0.5
19,18,0.5
18,20,0.5
20,18,0.5
18,21,0.5
21,18,0.5
18,22,1
22,18,1
18,30,1
30,18,1
18,43,0.5
43,18,0.5
18,52,0.5
52,18,0.5
18,54,1
54,18,1
18,55,0.5
55,18,0.5
18,56,0.5
56,18,0.5
18,90,1
90,18,1
19,20,0.5
20,19,0.5
19,21,0.5
21,19,0.5
19,23,1
23,19,1
19,28,0.5
28,19,0.5
19,30,0.5
30,19,0.5
19,31,1
31,19,1
19,32,0.5
32,19,0.5
19,55,1
55,19,1
19,89,0.5
89,19,0.5
19,90,0.5
90,19,0.5
19,91,1
91,19,1
19,93,0.5
93,19,0.5
19,102,0.5
102,19,0.5
20,21,0.5
21,20,0.5
20,22,0.5
22,20,0.5
20,23,0.5
23,20,0.5
20,32,1
32,20,1
20,56,1
56,20,1
20,81,0.5
81,20,0.5
20,90,0.5
90,20,0.5
20,92,1
92,20,1
20,93,0.5
93,20,0.5
20,94,0.5
94,20,0.5
21,22,0.5
22,21,0.5
21,23,0.5
23,21,0.5
21,30,0.5
30,21,0.5
21,32,0.5
32,21,0.5
21,33,1
33,21,1
21,34,0.5
34,21,0.5
21,55,0.5
55,21,0.5
21,56,0.5
56,21,0.5
21,57,1
57,21,1
21,59,0.5
59,21,0.5
21,68,0.5
68,21,0.5
21,93,1
93,21,1
22,23,0.5
23,22,0.5
22,34,1
34,22,1
22,47,0.5
47,22,0.5
22,48,0.5
48,22,0.5
22,56,0.5
56,22,0.5
22,58,1
58,22,1
22,59,0.5
59,22,0.5
22,94,1
94,22,1
23,24,0.5
24,23,0.5
23,32,0.5
32,23,0.5
23,34,0.5
34,23,0.5
23,35,1
35,23,1
23,59,1
59,23,1
23,85,0.5
85,23,0.5
23,93,0.5
93,23,0.5
23,94,0.5
94,23,0.5
23,95,1
95,23,1
23,106,0.5
106,23,0.5
24,25,0.5
25,24,0.5
24,26,0.5
26,24,0.5
24,27,0.5
27,24,0.5
24,28,1
28,24,1
24,32,1
32,24,1
24,34,0.5
34,24,0.5
24,35,0.5
35,24,0.5
24,60,1
60,24,1
24,85,0.5
85,24,0.5
24,96,1
96,24,1
24,97,0.5
97,24,0.5
24,98,0.5
98,24,0.5
24,106,0.5
106,24,0.5
25,26,0.5
26,25,0.5
25,27,0.5
27,25,0.5
25,29,1
29,25,1
25,33,1
33,25,1
25,34,0.5
34,25,0.5
25,35,0.5
35,25,0.5
25,36,0.5
36,25,0.5
25,60,0.5
60,25,0.5
25,61,1
61,25,1
25,63,0.5
63,25,0.5
25,71,0.5
71,25,0.5
25,97,1
97,25,1
26,27,0.5
27,26,0.5
26,28,0.5
28,26,0.5
26,29,0.5
29,26,0.5
26,30,1
30,26,1
26,34,1
34,26,1
26,51,0.5
51,26,0.5
26,60,0.5
60,26,0.5
26,62,1
62,26,1
26,63,0.5
63,26,0.5
26,64,0.5
64,26,0.5
26,98,1
98,26,1
27,28,0.5
28,27,0.5
27,29,0.5
29,27,0.5
27,31,1
31,27,1
27,35,1
35,27,1
27,63,1
63,27,1
27,74,0.5
74,27,0.5
27,97,0.5
97,27,0.5
27,98,0.5
98,27,0.5
27,99,1
99,27,1
27,101,0.5
101,27,0.5
28,29,0.5
29,28,0.5
28,30,0.5
30,28,0.5
28,31,0.5
31,28,0.5
28,32,1
32,28,1
28,64,1
64,28,1
28,89,0.5
89,28,0.5
28,98,0.5
98,28,0.5
28,100,1
100,28,1
28,101,0.5
101,28,0.5
28,102,0.5
102,28,0.5
29,30,0.5
30,29,0.5
29,31,0.5
31,29,0.5
29,33,1
33,29,1
29,40,0.5
40,29,0.5
29,63,0.5
63,29,0.5
29,64,0.5
64,29,0.5
29,65,1
65,29,1
29,67,0.5
67,29,0.5
29,101,1
101,29,1
30,31,0.5
31,30,0.5
30,32,0.5
32,30,0.5
30,33,0.5
33,30,0.5
30,34,1
34,30,1
30,55,0.5
55,30,0.5
30,64,0.5
64,30,0.5
30,66,1
66,30,1
30,67,0.5
67,30,0.5
30,68,0.5
68,30,0.5
30,102,1
102,30,1
31,32,0.5
32,31,0.5
31,33,0.5
33,31,0.5
31,35,1
35,31,1
31,67,1
67,31,1
31,78,0.5
78,31,0.5
31,101,0.5
101,31,0.5
31,102,0.5
102,31,0.5
31,103,1
103,31,1
31,105,0.5
105,31,0.5
32,33,0.5
33,32,0.5
32,34,0.5
34,32,0.5
32,35,0.5
35,32,0.5
32,68,1
68,32,1
32,93,0.5
93,32,0.5
32,102,0.5
102,32,0.5
32,104,1
104,32,1
32,105,0.5
105,32,0.5
32,106,0.5
106,32,0.5
33,34,0.5
34,33,0.5
33,35,0.5
35,33,0.5
33,44,0.5
44,33,0.5
33,67,0.5
67,33,0.5
33,68,0.5
68,33,0.5
33,69,1
69,33,1
33,71,0.5
71,33,0.5
33,105,1
105,33,1
34,35,0.5
35,34,0.5
34,59,0.5
59,34,0.5
34,60,0.5
60,34,0.5
34,68,0.5
68,34,0.5
34,70,1
70,34,1
34,71,0.5
71,34,0.5
34,106,1
106,34,1
35,71,1
71,35,1
35,82,0.5
82,35,0.5
35,97,0.5
97,35,0.5
35,105,0.5
105,35,0.5
35,106,0.5
106,35,0.5
35,107,1
107,35,1
36,37,0.5
37,36,0.5
36,38,0.5
38,36,0.5
36,39,0.5
39,36,0.5
36,40,1
40,36,1
36,44,1
44,36,1
36,46,0.5
46,36,0.5
36,47,0.5
47,36,0.5
36,48,1
48,36,1
36,60,1
60,36,1
36,61,0.5
61,36,0.5
36,63,0.5
63,36,0.5
36,71,0.5
71,36,0.5
36,72,1
72,36,1
37,38,0.5
38,37,0.5
37,39,0.5
39,37,0.5
37,41,1
41,37,1
37,45,1
45,37,1
37,46,0.5
46,37,0.5
37,47,0.5
47,37,0.5
37,48,0.5
48,37,0.5
37,49,1
49,37,1
37,50,0.5
50,37,0.5
37,58,0.5
58,37,0.5
37,61,1
61,37,1
37,72,0.5
72,37,0.5
37,73,1
73,37,1
37,75,0.5
75,37,0.5
37,83,0.5
83,37,0.5
37,84,0.5
84,37,0.5
38,39,0.5
39,38,0.5
38,40,0.5
40,38,0.5
38,41,0.5
41,38,0.5
38,42,1
42,38,1
38,46,1
46,38,1
38,50,1
50,38,1
38,61,0.5
61,38,0.5
38,62,1
62,38,1
38,63,0.5
63,38,0.5
38,65,0.5
65,38,0.5
38,72,0.5
72,38,0.5
38,74,1
74,38,1
38,75,0.5
75,38,0.5
38,76,0.5
76,38,0.5
38,99,0.5
99,38,0.5
39,40,0.5
40,39,0.5
39,41,0.5
41,39,0.5
39,43,1
43,39,1
39,47,1
47,39,1
39,48,0.5
48,39,0.5
39,50,0.5
50,39,0.5
39,51,1
51,39,1
39,52,0.5
