label1,label2,squared_distance
0,1,1
1,0,1
0,2,1
2,0,1
0,3,1
3,0,1
0,6,1
6,0,1
0,9,1
9,0,1
0,18,1
18,0,1
1,2,1
2,1,1
1,4,1
4,1,1
1,7,1
7,1,1
1,10,1
10,1,1
1,19,1
19,1,1
2,5,1
5,2,1
2,8,1
8,2,1
2,11,1
11,2,1
2,20,1
20,2,1
3,4,1
4,3,1
3,5,1
5,3,1
3,6,1
6,3,1
3,12,1
12,3,1
3,21,1
21,3,1
4,5,1
5,4,1
4,7,1
7,4,1
4,13,1
13,4,1
4,22,1
22,4,1
5,8,1
8,5,1
5,14,1
14,5,1
5,23,1
23,5,1
6,7,1
7,6,1
6,8,1
8,6,1
6,15,1
15,6,1
6,24,1
24,6,1
7,8,1
8,7,1
7,16,1
16,7,1
7,25,1
25,7,1
8,17,1
17,8,1
8,26,1
26,8,1
9,10,1
10,9,1
9,11,1
11,9,1
9,12,1
12,9,1
9,15,1
15,9,1
9,18,1
18,9,1
10,11,1
11,10,1
10,13,1
13,10,1
10,16,1
16,10,1
10,19,1
19,10,1
11,14,1
14,11,1
11,17,1
17,11,1
11,20,1
20,11,1
12,13,1
13,12,1
12,14,1
14,12,1
12,15,1
15,12,1
12,21,1
21,12,1
13,14,1
14,13,1
13,16,1
16,13,1
13,22,1
22,13,1
14,17,1
17,14,1
14,23,1
23,14,1
15,16,1
16,15,1
15,17,1
17,15,1
15,24,1
24,15,1
16,17,1
17,16,1
16,25,1
25,16,1
17,26,1
26,17,1
18,19,1
19,18,1
18,20,1
20,18,1
18,21,1
21,18,1
18,24,1
24,18,1
19,20,1
20,19,1
19,22,1
22,19,1
19,25,1
25,19,1
20,23,1
23,20,1
20,26,1
26,20,1
21,22,1
22,21,1
21,23,1
23,21,1
21,24,1
24,21,1
22,23,1
23,22,1
22,25,1
25,22,1
23,26,1
26,23,1
24,25,1
25,24,1
24,26,1
26,24,1
25,26,1
26,25,1
