label1,label2,squared_distance,dx,dy,dz
0,1,28.2067,0,0,5.311
0,2,28.2067,0,5.311,0
0,3,56.4134,0,5.311,5.311
0,4,28.2067,5.311,0,0
0,5,56.4134,5.311,0,5.311
0,6,56.4134,5.311,5.311,0
0,7,84.6202,5.311,5.311,5.311
1,2,56.4134,0,5.311,-5.311
1,3,28.2067,0,5.311,0
1,4,56.4134,5.311,0,-5.311
1,5,28.2067,5.311,0,0
1,6,84.6202,5.311,5.311,-5.311
1,7,56.4134,5.311,5.311,0
2,3,28.2067,0,0,5.311
2,4,56.4134,5.311,-5.311,0
2,5,84.6202,5.311,-5.311,5.311
2,6,28.2067,5.311,0,0
2,7,56.4134,5.311,0,5.311
3,4,84.6202,5.311,-5.311,-5.311
3,5,56.4134,5.311,-5.311,0
3,6,56.4134,5.311,0,-5.311
3,7,28.2067,5.311,0,0
4,5,28.2067,0,0,5.311
4,6,28.2067,0,5.311,0
4,7,56.4134,0,5.311,5.311
5,6,56.4134,0,5.311,-5.311
5,7,28.2067,0,5.311,0
6,7,28.2067,0,0,5.311
