,r2
0,-0.0019139503054767712
1,-0.0019139503054767712
2,-0.0019139503054767712
3,-0.00024987854710822204
4,-7.435485921693566e-05
5,-0.0019139503054767712
6,-0.0019139503054767712
7,
8,-0.0019139503054767712
9,-0.0019139503054767712
10,-0.0019139503054767712
11,-0.000249878547108
12,-0.0019139503054767712
13,-7.435485921693566e-05
14,-0.0019139503054767712
15,-3.140098649670941e-05
16,-7.435485921693566e-05
17,-7.435485921693566e-05
18,-0.0019139503054767712
19,-0.00024987854710822204
20,-0.0019139503054767712
21,-7.435485921693566e-05
22,-0.0019139503054767712
23,
24,-0.0019139503054767712
25,-0.0019139503054767712
26,-0.0019139503054767712
27,-0.00024987854710822204
28,-7.435485921693566e-05
29,-0.0019139503054767712
30,-0.0019139503054767712
31,
32,-0.0019139503054767712
33,-0.0019139503054767712
34,-0.0019139503054767712
35,-0.00024987854710822204
36,-0.0019139503054767712
37,-0.0019139503054767712
38,-7.435485921693566e-05
39,-3.140098649670941e-05
40,-7.435485921693566e-05
41,-0.0019139503054767712
42,-7.435485921693566e-05
43,-0.00024987854710822204
44,-0.0019139503054767712
45,-0.0019139503054767712
46,-7.435485921693566e-05
47,-3.140098649670941e-05
48,-0.0019139503054767712
49,-7.435485921693566e-05
50,-7.435485921693566e-05
51,-9.308945548788597e-06
52,-7.435485921693566e-05
53,-7.435485921693566e-05
54,-7.435485921693566e-05
55,-3.140098649670941e-05
56,-0.0019139503054767712
57,-7.435485921693566e-05
58,-7.435485921693566e-05
59,-0.00024987854710822204
60,-0.0019139503054767712
61,-0.0019139503054767712
62,-7.435485921693566e-05
63,-3.140098649670941e-05
64,-7.435485921693566e-05
65,-0.0019139503054767712
66,-7.435485921693566e-05
67,-0.00024987854710822204
68,-0.0019139503054767712
69,-0.0019139503054767712
70,-7.435485921693566e-05
71,
72,-0.0019139503054767712
73,-0.0019139503054767712
74,-0.0019139503054767712
75,-0.00024987854710822204
76,-7.435485921693566e-05
77,-0.0019139503054767712
78,-0.0019139503054767712
79,
80,-0.0019139503054767712
81,-0.0019139503054767712
82,-0.0019139503054767712
83,-0.00024987854710822204
84,-0.0019139503054767712
85,-7.435485921693566e-05
86,-0.0019139503054767712
87,-3.140098649670941e-05
88,-7.435485921693566e-05
89,-7.435485921693566e-05
90,-0.0019139503054767712
91,-0.00024987854710822204
92,-0.0019139503054767712
93,-7.435485921693566e-05
94,-0.0019139503054767712
95,
96,-0.0019139503054767712
97,-0.0019139503054767712
98,-0.0019139503054767712
99,-0.00024987854710822204
100,-7.435485921693566e-05
101,-0.0019139503054767712
102,-0.0019139503054767712
103,
104,-0.0019139503054767712
105,-0.0019139503054767712
106,-0.0019139503054767712
107,-0.0019139503054767712
108,-0.0019139503054767712
109,-7.435485921693566e-05
110,-0.00024987854710822204
111,-0.0019139503054767712
112,-0.0019139503054767712
113,-0.0019139503054767712
114,
115,-0.0019139503054767712
